Director,Rating_Director
Surender Reddy,5.6
Surendra Kumar Bohra,4.9
Surendra Mohan,5.933333333333334
Suresh,4.5
Suresh Bafna,7.4
Suresh Krishna,5.666666666666667
Suresh Triveni,7.0
Surindara Suri,5.7
Surya Lakkoju,2.4
Surya Prakash,3.9
Sushen Bhatnagar,4.9
Sushikailash,5.0
Sushil Majumdar,6.5
Sushil Malik,5.4
Sushil Rajpal,7.3
Sushil Vyas,5.2
Sushma Shiromani,3.1
Sushmit Ghosh,8.1
Susi Ganesan,2.3
Suvahhdan Angre,6.9
Suvendu Ghosh,4.2
Suzad Iqbal Khan,3.4
Swapan Saha,5.6
Swapna Joshi,4.0
Swaroop Kanchi,7.7
Swaroop Kumar,4.2
Syed Ahmad Afzal,6.433333333333334
T. Prakash Rao,6.720000000000001
T.L.V. Prasad,4.785714285714286
T.R. Sundaram,5.0
T.S. Ranga,6.8
Tabrez Hashmi,3.5
Tabrez Noorani,7.4
Tahir Hussain,4.7
Talat Jani,4.8
Tannishtha Chatterjee,7.8
Tanuj Bhramar,5.3
Tanuja Chandra,5.8
Tanushri Chattrji Bassu,6.3
Tanveer Hashmi,5.0
Tanveer Khan,4.466666666666666
Tanvir Ahmad,3.6
Tanvir Ahmed,4.8
Tapan Sinha,7.371428571428572
Tapi Chanakya,6.35
Tara Harish,7.1
Taranjiet Singh Namdhari,7.1
Taranveer Singh,4.5
Tariq Khan,5.1
Tariq Shah,4.35
Tarun Madan Chopra,6.6
Tarun Majumdar,7.050000000000001
Tarun Mansukhani,5.0
Tarun s Bisht,5.4
Teja,3.9
Terrie Samundra,3.4
Thampi Kannanthanam,6.3
Thiru,5.5
Tigmanshu Dhulia,6.425
Tilak Shetty,7.8
Tinnu Anand,6.385714285714286
Tinnu Verma,3.35
Tom Alter,9.2
Tonje Gjevjon,6.3
Tony Juneja,3.8
Trilok Jetley,7.0
Tulsi Ramsay,6.1
Tushar Hiranandani,7.7
Tushar Waghela,6.5
Udai Singh Pawar,6.7
Uday Shankar,5.9
Udayshankar,4.8
Udyakanth,3.6
Ujjwal Chatterjee,4.199999999999999
Ujjwal Singh,6.3
Umesh Bist,5.1
Umesh Ghadge,1.9
Umesh Mehra,5.3625
Umesh Shukla,6.225
Umesh Vinayak Kulkarni,7.2
Utpal Kalal,9.2
Utpalendu Chakrabarty,7.5
V. Gowthaman,6.0
V. Joshi,5.0
V. Madhusudan Rao,6.533333333333334
V. Menon,4.2
V. Nagendra Prasad,7.2
V. Ravichandran,6.0
V.C. Guhanathan,5.0
V.C. Ramani,5.1
V.G. Samant,7.6
V.K. Choudhary,7.0
V.K. Prakash,5.8
V.K. Singh,5.9
V.M. Vyas,7.65
V.N. Aditya,5.3
V.V. Vinayak,6.8
Vaibhav Misra,4.5
Van Maximilian Carlson,8.0
Vandana Kataria,5.8
Vara Mullapoodi,4.9
Varadraj Swami,6.6
Varun Middha,4.3
Vasan Bala,7.2
Vasant Joglekar,5.6
Vasant R. Patel,4.2
Ved Rahi,6.3
Veerendra,5.4
Veerendranath Yandamoori,6.2
Venkatesh Bk,9.3
Venod Mitra,6.5
Vetrimaaran,8.5
Vibhu Puri,5.5
Vickrant Mahajan,5.9
Vicky Bhardwaj,5.3
Vicky G.,3.4
Vicky Ranawat,5.45
Vicky Tejwani,4.2
Vidhi Kasliwal,7.3
Vidhu Vinod Chopra,6.575
Vierendrra Lalit,7.9
Vijay,6.4
Vijay Anand,7.128571428571428
Vijay B.,6.5
Vijay Bhatt,6.857142857142857
Vijay Jayapal,5.9
Vijay K. Bhaskar,6.4
Vijay Kapoor,6.6
Vijay Krishna Acharya,4.466666666666667
Vijay Kumar,3.9
Vijay Lalwani,7.1
Vijay Raaz,7.4
Vijay Ratnakar Gutte,6.0
Vijay Reddy,5.081818181818182
Vijay Sadanah,6.1
Vijay Sharma,6.550000000000001
Vijay Singh,5.6
Vijay Talwar,6.4
Vijaya Mehta,7.1
Viji Thampi,5.2
Vijit Sharma,6.1
Vikas Bahl,6.8
Vikas Desai,6.949999999999999
Vikas Khanna,7.9
Vikram Bhatt,4.833333333333333
Vikram K. Kumar,7.3
Vikram Pradhan,5.1
Vikram Veturi,6.5
Vikramaditya Motwane,7.5
Vikramjit Singh,3.3
Vimal Kumar,4.775
Vinay Shukla,5.566666666666666
Vinayan,3.9333333333333336
Vineet Khetrapal,5.3
Vinil Mathew,6.8
Vinnil Markan,5.3
Vinod Dewan,5.6
Vinod K. Verma,4.5
Vinod Kamble,8.7
Vinod Kumar,6.4
Vinod Mehra,4.9
Vinod Mukhi,3.6
Vinod Pande,5.471428571428571
Vinod Talwar,5.5
Vinod Tiwari,3.1
Vipin Handa,4.7
Vipin Parashar,3.5
Vipul Amrutlal Shah,5.5
Vipul K. Rawal,7.9
Virendra Saini,6.300000000000001
Virendra Sharma,5.6
Visakh G S,5.2
Vishal Aryan Singh,3.9
Vishal Bhardwaj,7.1
Vishal Inamdar,5.4
Vishal Mahadkar,5.0
Vishal Mishra,4.949999999999999
Vishal Pandya,4.4799999999999995
Vishesh Bhatt,4.9
Vishnupant Govind Damle,7.300000000000001
Vishram Bedekar,6.2
Vishram Sawant,6.699999999999999
Vishwa Bhanu,9.3
Vishwamitra,6.6
Vishwas Paandya,6.4
Vishwas Patil,2.3
Vishwesh Krishnamoorthy,7.4
Vivek Agnihotri,5.457142857142857
Vivek Budakoti,6.3
Vivek Sharma,5.3999999999999995
Vivek b Agrawal,4.1
Wes Anderson,7.2
Willard Carroll,4.8
Wilson Louis,4.666666666666667
Xavier Agudo,5.6
Y. Eshwara Reddy,4.4
Y. Nageswara Rao,6.9
Y.P. Singh,6.1
Y.V.S. Chowdary,5.7
Yakub Hasan Rizvi,7.1
Yash Chopra,6.972727272727273
Yesudas,4.8
Yogendra Singh,7.5
Yogesh Bharadwaj,5.65
Yogesh Dattatraya Gosavi,7.4
Yogesh Ishwar,4.2
Yogesh Mittal,5.8
Yogesh Saxena,5.7
Yunus Sajawal,6.1
Yusuf Khan,4.0
Yûgô Sakô,6.8
Zaheer D. Lari,6.1
Zaid Ali Khan,5.5
Zaigham Ali Syed,5.6
Zaigham Imam,6.833333333333333
Zeishan Quadri,7.2
Zia Sarhadi,7.5
Ziaullah Khan,5.6
Zoya Akhtar,6.8
Zubair Khan,5.4
Zunaid Memon,6.4
