Actor 1,Rating_Actor1,Actor 2,Rating_Actor2,Director,Rating_Director
Poonam Pandey,3.2,Poonam Pandey,6.6,,
Poornima Jayaram,6.1,,,,
Prabhakar,8.4,,,,
Prabhas,3.3,,,,
Prabhu,6.5,Prabhu,6.9,Prabhu,6.5
Prabhu Deva,5.32,Prabhu Deva,4.133333333333334,Prabhu Deva,4.37
Prachi Save,7.1,,,,
Pradeep Kumar,5.928571428571429,Pradeep Kumar,6.753333333333333,,
Pradeep Pandey,5.1,,,,
Pradeep Rangwani,3.9,,,,
Prajakt Rebeloma,7.3,,,,
Prakash Bare,6.65,,,,
Prakash Belawadi,6.8,,,,
Prakash Deshmukh,8.0,,,,
Prakash Mehra,6.7,,,Prakash Mehra,6.16875
Pramod Goswami,6.2,,,,
Pran,6.0,Pran,6.766666666666667,,
Pranavanand,6.3,,,,
Prasenjit Chatterjee,6.966666666666666,Prasenjit Chatterjee,4.8,,
Prashant Barot,5.5,,,,
Prashant Chaubey,9.3,,,,
Prashant Narayanan,4.05,Prashant Narayanan,5.4,,
Prashant Pandey,7.8,,,,
Prashanth,5.333333333333333,Prashanth,5.1,,
Prashantt Guptha,4.85,,,,
Prateek Gupta,8.4,,,,
Prateek Pachauri,6.8,,,,
Prateik,5.42,,,,
Pratim D. Gupta,5.2,,,,
Pratima V. Kulkarni,5.8,,,,
Pratyush Sharma,8.2,,,Pratyush Sharma,8.2
Prayag Raj,6.5,,,Prayag Raj,5.82
Preeti Ganguli,6.7,,,,
Preeti Jhangiani,7.8,Preeti Jhangiani,4.9,,
Preeti Soni,2.4,Preeti Soni,5.8,,
Preetika Chauhan,8.6,,,,
Preity Zinta,6.1,Preity Zinta,5.38,,
Prem Adib,6.475,,,,
Prem Chopra,3.3,Prem Chopra,5.542857142857143,Prem Chopra,3.3
Prem Datta,5.4,,,,
Prem Nath,6.175,Prem Nath,6.15,,
Prem Nazir,6.4,,,,
Prerika Arora,5.1,,,,
Prince Adhikari,5.4,,,,
Prince Shah,6.8,,,,
Prince Singh,8.4,,,,
Prit Kamani,5.75,,,,
Prithvi,5.7,,,,
Prithviraj Kapoor,6.2125,Prithviraj Kapoor,6.7,,
Prithviraj Sukumaran,6.7,Prithviraj Sukumaran,4.9,Prithviraj Sukumaran,7.5
Priya Gamre,6.7,,,,
Priya Rao,3.8,,,,
Priyamvada Narayanan,7.2,,,,
Priyanka Agarwal,8.1,,,,
Priyanka Arya,5.55,,,,
Priyanka Bose,5.550000000000001,Priyanka Bose,4.6,,
Priyanka Chopra Jonas,5.8999999999999995,Priyanka Chopra Jonas,5.035,,
Priyanshu Chatterjee,6.3500000000000005,Priyanshu Chatterjee,5.24,,
Puja Jha,7.2,,,,
Pulkit Samrat,4.633333333333334,Pulkit Samrat,3.2,,
Puneet Issar,4.5,,,Puneet Issar,5.5
Puneet Singh Ratn,5.9,,,,
Purab Kohli,5.45,Purab Kohli,6.125,,
Puru Chibber,7.4,Puru Chibber,6.7,,
Pushpraj Gunjan,7.0,,,,
R. Kannan,4.9,,,,
R. Kumar,3.8,,,,
Raaj Kumar,6.014285714285714,Raaj Kumar,6.863636363636363,,
Radhika Apte,6.0,Radhika Apte,7.114285714285714,,
Rafiq Anwar,6.8,,,,
Raghav Rishi,7.1,,,,
Raghu Babu,9.1,,,,
Raghuvir Yadav,7.06,Raghuvir Yadav,6.416666666666667,,
Ragini,5.1,Ragini,6.15,,
Rahul Bagga,5.16,Rahul Bagga,4.933333333333334,,
Rahul Bairagi,6.4,,,,
Rahul Bhatt,7.65,Rahul Bhatt,5.1,,
Rahul Bose,5.814285714285715,Rahul Bose,5.975,Rahul Bose,6.85
Rahul Dev,6.175,Rahul Dev,4.9,,
Rahul Dholakia,5.9,,,Rahul Dholakia,6.025
Rahul Jaiswal,5.0,,,,
Rahul Khanna,5.2,,,,
Rahul Ranjan,7.3,,,,
Rahul Rawail,6.5,,,Rahul Rawail,5.3133333333333335
Rahul Roy,5.720000000000001,Rahul Roy,5.466666666666666,,
Rahul Singh,6.1,Rahul Singh,3.9,,
Rahul Thulasiram,4.5,,,,
Rahul V. Chittella,6.6,,,,
Rahuul Aamath,6.8,,,,
Raima Sen,6.0,Raima Sen,6.225,,
Raj Agnihotri,8.0,,,,
Raj Arjun,6.8,Raj Arjun,5.7,,
Raj Babbar,5.755,Raj Babbar,5.272222222222222,,
Raj Ballav Koirala,6.8,,,,
Raj Banerjee,9.7,,,,
Raj Kapoor,6.919354838709677,Raj Kapoor,7.346666666666667,Raj Kapoor,7.145454545454545
Raj Kiran,5.5,Raj Kiran,6.15,,
Raj Nidimoru,6.56,,,,
Raj Singh Arora,5.4,,,,
Raj Singh Chaudhary,6.65,Raj Singh Chaudhary,8.1,Raj Singh Chaudhary,6.0
Raj Singh Jhinger,7.2,,,,
Raj Vasudeva,4.6,,,,
Raja,3.2,,,,
Rajan Deo,6.9,,,,
Rajan Sippy,5.15,Rajan Sippy,5.449999999999999,,
Rajan Verma,4.8,,,,
Rajasekhar,6.2,,,Rajasekhar,5.3
Rajat Bakshi,3.3,,,,
Rajat Barmecha,8.1,Rajat Barmecha,4.1,,
Rajat Bedi,6.166666666666667,Rajat Bedi,4.95,,
Rajat Kapoor,7.1,Rajat Kapoor,6.9,Rajat Kapoor,6.95
Rajbeer Singh,5.4,,,,
Rajeev Dassani,4.7,,,,
Rajeev Kanakala,4.9,Rajeev Kanakala,6.8,,
Rajeev Khandelwal,5.914285714285714,Rajeev Khandelwal,5.85,,
Rajendra Gupta,5.3,Rajendra Gupta,7.8,,
Rajendra Kumar,6.486363636363635,Rajendra Kumar,6.6625,Rajendra Kumar,6.5
Rajendra Prasad,5.8,,,,
Rajendranath Malhotra,5.4,,,,
Rajesh Bakshi,3.3,Rajesh Bakshi,3.6999999999999997,Rajesh Bakshi,3.3
Rajesh Bhardwaj,5.3,,,,
Rajesh Desai,8.2,,,,
Rajesh Khanna,6.5675675675675675,Rajesh Khanna,6.471428571428571,,
Rajesh Khera,5.6,,,,
Rajesh Malik,6.0,,,,
Rajesh Mittal,5.35,,,Rajesh Mittal,7.1
Rajesh Sethi,4.6,,,,
Rajesh Tailang,7.3,Rajesh Tailang,7.2,,
Rajeshwari Sachdev,7.4,Rajeshwari Sachdev,4.9,,
Rajinder Verma,6.3,,,,
Rajinikanth,6.104,Rajinikanth,5.5636363636363635,,
Rajit Kapoor,6.659999999999999,Rajit Kapoor,6.42,,
Rajith Menon,5.8,,,,
Rajiv Kapoor,5.75,,,Rajiv Kapoor,5.7
Rajkumar,8.1,,,,
Rajkumar Bedi,6.6,,,,
Rajkumari,6.9,,,,
Rajkummar Rao,7.027272727272727,Rajkummar Rao,6.3,,
Rajniesh Duggall,5.12,Rajniesh Duggall,3.8333333333333335,,
Rajpal Yadav,5.785714285714286,Rajpal Yadav,6.1,Rajpal Yadav,5.4
Rajshree,4.8,Rajshree,6.525,,
Raju Kumar,7.2,,,,
Raju Mavani,4.1,,,Raju Mavani,4.4
Raju Singh,6.9,,,,
Rajveer Ankur Singh,8.3,,,,
Rajvirr Singh,6.2,,,,
Rajvvir Aroraa,7.3,,,,
Rakesh,2.4,,,,
Rakesh Bedi,4.825,Rakesh Bedi,5.357142857142857,Rakesh Bedi,2.1
Rakesh Khanna,6.5,,,,
Rakesh Roshan,5.733333333333333,Rakesh Roshan,6.066666666666666,Rakesh Roshan,6.023076923076923
Rakhee Gulzar,6.047999999999999,Rakhee Gulzar,6.035,,
Raksha Mistry,4.3,,,,
Ram Awana,6.1,,,,
Ram Charan,3.2,,,,
Ram Gopal Varma,5.9,,,Ram Gopal Varma,5.491176470588235
Ram Kapoor,3.35,Ram Kapoor,7.3,,
Ram Pothineni,5.2,,,,
Raman Atre,6.6,,,,
Raman Trikha,2.6,,,,
Ramanjit Juneja,3.3,,,,
Ramesh Puri,6.3,,,,
Rameshwari,7.9,Rameshwari,4.8999999999999995,,
Rana Daggubati,7.6,Rana Daggubati,6.1,,
Rana Jung Bahadur,5.233333333333333,Rana Jung Bahadur,5.36,,
Ranbeeir Kalsi,3.3,,,,
Ranbir Kapoor,6.571428571428571,Ranbir Kapoor,7.3,,
Randeep Hooda,5.95,Randeep Hooda,6.5,,
Randhawa,6.033333333333334,,,,
Randhir Kapoor,5.509090909090909,Randhir Kapoor,6.125,Randhir Kapoor,6.433333333333334
Rani Mukerji,5.6,Rani Mukerji,5.990909090909091,Rani Mukerji,3.9
Ranjan,4.6,Ranjan,5.3,,
Ranjana,7.7,,,,
Ranjeeta Kaur,7.3,Ranjeeta Kaur,5.791666666666667,,
Ranji Vijayan,6.6,,,,
Ranjit Bawa,7.3,,,,
Ranjit Kapoor,5.2,,,Ranjit Kapoor,6.0
Ranjit Sood,5.9,,,,
Ranveer Singh,5.5875,Ranveer Singh,6.3,,
Ranvir Shorey,6.825,Ranvir Shorey,5.957142857142857,,
Raqesh Bapat,6.0,,,,
Rashid Ahmed,6.4,,,,
Rasika Dugal,6.85,Rasika Dugal,7.5,,
Ratan Chopra,5.9,,,,
Rati Agnihotri,5.4799999999999995,Rati Agnihotri,5.278571428571429,Rati Agnihotri,3.1
Ratin Banerjee,7.6,,,,
Ratna Bhooshan,8.1,,,,
Rattan Bai,6.2,,,,
Raushan Jha,7.4,,,,
Raveena Tandon,5.025,Raveena Tandon,5.178571428571429,,
Ravi Baswani,6.5,Ravi Baswani,6.833333333333333,,
Ravi Chauhan,5.8,,,,
Ravi Chopra,6.2,,,Ravi Chopra,6.088888888888889
Ravi Kishan,4.7,Ravi Kishan,6.5,,
Ravi Sah,6.6,,,,
Ravi Tandon,6.2,,,Ravi Tandon,6.7250000000000005
Ravi Teja,5.199999999999999,,,,
Ravindra Sahu,6.1,,,,
Raz Rehman Ali,8.9,,,,
Raza Murad,5.85,Raza Murad,5.85,,
Reem Shaikh,2.4,,,,
Reena Roy,5.7,Reena Roy,6.0120000000000005,,
Rehaan Engineer,5.9,,,,
Rehal Khan,3.5,,,,
Rehana,5.65,Rehana,6.533333333333334,,
Rekha,5.442857142857143,Rekha,5.823076923076924,,
Rekha Rana,5.5,Rekha Rana,4.0,,
Revathi,7.1,Revathi,6.8999999999999995,Revathi,6.449999999999999
Rhea Chakraborty,5.65,Rhea Chakraborty,6.4,,
Rhythm Arora,5.7,,,,
Richa Chadha,5.3,Richa Chadha,5.46,,
Richa Pallod,5.1,,,,
Richard Harris,1.6,,,,
Rima Mishra,7.1,,,,
Rina Charaniya,5.3,,,,
Rinku Jaiswal,5.8,Rinku Jaiswal,6.7,,
Rintu Thomas,8.1,,,,
Rishabh Vaidya,2.8,,,,
Rishi Bhummi,7.0,,,,
Rishi Bhutani,4.2,Rishi Bhutani,7.0,,
Rishi Kapoor,5.945652173913044,Rishi Kapoor,6.395454545454545,Rishi Kapoor,5.5
Rishi Verma,6.8,,,,
Rishy,7.7,,,,
Rita Bhaduri,5.183333333333334,Rita Bhaduri,4.7,,
Riteish Deshmukh,5.185714285714285,Riteish Deshmukh,4.36,,
Rituparna Sengupta,4.366666666666666,Rituparna Sengupta,5.742857142857143,,
Ritwick Chakraborty,5.6,Ritwick Chakraborty,6.9,,
Riya Deepsi,3.6,,,,
Robin Das,7.7,,,,
Robin Sikarwar,5.7,,,,
Robin Sohi,4.3,,,,
Rohan,3.2,,,,
Rohan Dey,7.4,,,,
Rohan Jardosh,4.4,,,,
Rohan Kapoor,4.1,Rohan Kapoor,5.7,,
Rohini Hattangadi,8.2,Rohini Hattangadi,6.5,,
Rohit Krishnakant Nayyar,4.4,,,Rohit Krishnakant Nayyar,4.6
Rohit Roy,3.5,,,,
Ronit Jadhav,8.8,,,Ronit Jadhav,8.8
Ronit Roy,5.45,Ronit Roy,8.05,,
Rono Mukherjee,6.1,,,,
Roopa Ganguly,4.7,,,,
Roopesh Kumar,6.9,Roopesh Kumar,7.5,,
Rose Laskar,5.8,,,,
Ruby Ahmed,3.6,,,,
Ruby Mayer,2.7,,,,
Ruchika Muchhala,6.1,,,,
Ruma Guha Thakurta,7.6,,,,
Rupa Bhimani,6.2,Rupa Bhimani,5.5,,
Rupak Ginn,7.5,,,,
Ruslaan Mumtaz,5.866666666666667,Ruslaan Mumtaz,6.0,,
S. Panju,6.416666666666667,,,,
S. Ramanathan,6.8,,,S. Ramanathan,6.228571428571429
S.A. Chandrashekhar,5.1,,,S.A. Chandrashekhar,5.516666666666667
S.M. Iqbal,3.9,,,,
S.N. Banerjee,7.1,,,S.N. Banerjee,6.3
S.S. Vasan,7.1,,,S.S. Vasan,6.8375
S.U. Sunny,5.5,,,S.U. Sunny,7.25
Saahil Prem,5.1,Saahil Prem,3.8,Saahil Prem,5.1
Saasha Aery,8.7,,,,
Saayli Buva,3.6,,,,
Sabita Devi,6.4,,,,
Sabitha Anand,6.0,,,,
Sabreen Baker,5.9,,,,
Sachendra Choubey,7.4,,,,
Sachiin Joshi,4.866666666666667,,,,
Sachin,5.6000000000000005,,,,
Sachin Khedekar,7.35,Sachin Khedekar,6.5,,
Sachin Krishn,6.8,,,,
Sachin Pilgaonkar,7.140000000000001,Sachin Pilgaonkar,6.566666666666666,Sachin Pilgaonkar,5.6000000000000005
Sachin Tendulkar,8.6,,,,
Sadashiv Amrapurkar,5.022222222222222,Sadashiv Amrapurkar,5.355555555555556,,
Sadhana,7.2,Sadhana,7.220000000000001,,
Sadhana Singh,6.0,Sadhana Singh,6.5,,
Sadhona Bose,6.800000000000001,,,,
Sadhvi Bhatt,6.0,,,,
Sadia Khateeb,3.8,,,,
Sadiq Ali,7.7,,,,
Sadiya Azgar,6.8,,,,
Sadiya Siddiqui,6.2,,,,
Saeed Jaffrey,6.7,Saeed Jaffrey,6.433333333333333,,
Saharsh Kumar Shukla,7.4,,,,
Saheem Khan,5.8,,,Saheem Khan,5.8
Sahil Akhtar,8.8,,,,
Sahil Anand,6.4,,,,
Sahil Khan,3.4,Sahil Khan,5.8,,
Sahil Mehta,5.3,,,,
Sahil Vaid,6.6,,,,
Sahilraj Dewangen,3.5,,,,
Saiba Babu,8.0,,,,
Saif Ali Khan,5.533333333333334,Saif Ali Khan,5.933333333333333,,
Saira Banu,6.05,Saira Banu,6.616666666666666,,
Saiyami Kher,5.8,Saiyami Kher,4.6,,
Sajad Khaki,6.6,,,,
Sajeel Parakh,6.2,,,,
Sajin Saleem,5.1,,,,
Salil Acharya,5.0,,,,
Salil Ankola,6.3,Salil Ankola,2.9,,
Salim Abubaker,6.2,,,,
Salim Amrohi,6.1,,,,
Salim Fateh,5.8,,,,
Salma Agha,4.6,Salma Agha,5.3,,
Salman Khan,5.232692307692308,Salman Khan,5.294117647058823,,
Sam Nagar,5.6,Sam Nagar,3.5,,
Samarth Sonawane,8.7,,,,
Sameer Dharmadhikari,4.550000000000001,Sameer Dharmadhikari,5.3,,
Sameera Awasthi,5.5,,,,
Samiksha Bhatnagar,7.8,Samiksha Bhatnagar,6.3,,
Samir Aftab,5.050000000000001,Samir Aftab,4.6,,
Samir Ahmed,6.6,,,,
Samir Soni,7.1,,,Samir Soni,5.5
Samit Bhanja,7.5,Samit Bhanja,6.6,,
Sammir Dattani,6.9,,,,
Sammy Jonas Heaney,3.0,,,,
Sampat Pal Devi,7.5,,,,
Sanaya Irani,5.0,,,,
Sandeep Bedi,5.3,,,,
Sandeep Bose,4.4,,,,
Sandeep Kulkarni,6.15,,,,
Sandeepa Dhar,5.95,Sandeepa Dhar,5.5,,
Sandhya,6.5,Sandhya,7.466666666666666,,
Sangeeta Bijlani,6.0,Sangeeta Bijlani,5.58,,
Sanghmitra Hitaishi,6.9,,,,
Saniya Anklesaria,5.9,,,,
Sanjay Bhatia,5.5,,,Sanjay Bhatia,4.8
Sanjay Chauhan,3.6,,,,
Sanjay Deyali,8.0,,,,
Sanjay Dutt,5.2606557377049175,Sanjay Dutt,4.96,,
Sanjay Gupta,5.7,,,Sanjay Gupta,5.590909090909091
Sanjay Kapoor,5.1499999999999995,Sanjay Kapoor,4.566666666666666,,
Sanjay Khan,5.716666666666666,Sanjay Khan,6.3,Sanjay Khan,6.050000000000001
Sanjay Khanna,4.2,,,Sanjay Khanna,4.8
Sanjay Mishra,7.085714285714286,Sanjay Mishra,6.028571428571429,,
Sanjay Mitra,7.7,,,,
Sanjay Sharma,5.449999999999999,,,Sanjay Sharma,3.7
Sanjay Singh,4.6,,,,
Sanjay Suri,6.966666666666666,Sanjay Suri,3.7,,
Sanjeev Giriwer,6.4,,,,
Sanjeev Kumar,6.577358490566038,Sanjeev Kumar,6.679166666666667,,
Sanoj R. Mishra,5.6,,,,
Sanya Malhotra,7.050000000000001,Sanya Malhotra,6.9,,
Sapna Awasthi,5.7,,,,
Sapna Sappu,5.16,Sapna Sappu,3.966666666666667,,
Saqib Saleem,7.0,Saqib Saleem,3.7,,
Sara Khan,6.2,,,,
Sara Loren,5.1,Sara Loren,2.8,,
Sarah Jane Dias,7.0,Sarah Jane Dias,6.1,,
Sarah Wayne Callies,5.3,,,,
Sarath Babu,3.5,Sarath Babu,7.7,,
Sarita Joshi,7.3,Sarita Joshi,7.8,,
Saroj Bhargava,2.9,,,,
Saroja Devi B.,6.65,Saroja Devi B.,6.8,,
Sarvadaman Banerjee,7.366666666666667,,,,
Sarvar Ahuja,4.25,,,,
Saswata Chatterjee,7.7,,,,
Satchit Puranik,3.6,,,,
Sathyan,7.7,,,,
Sathyaraj,4.4,Sathyaraj,7.3,,
Satish Kaushik,6.1,Satish Kaushik,5.3,Satish Kaushik,5.014285714285714
Satish Kumar,4.4,,,,
Satnam Kaur,6.3,Satnam Kaur,3.1,,
Satyadev Dubey,7.1,,,,
Satyajeet,7.6,Satyajeet,7.5,,
Satyakam Anand,6.1,,,,
Satyanshu Singh,7.8,,,,
Saurabh Agarwal,7.1,,,,
Saurabh Choudhary,3.8,,,,
Saurabh Goyal,7.6,,,,
Saurabh Malik,4.0,,,,
Saurav Chakraborty,6.7,,,,
Savita Bajaj,7.0,,,,
Sawroop Butta,7.3,,,,
Sayani Gupta,7.0,Sayani Gupta,6.5,,
Seema,6.5,,,,
Seema Azmi,5.366666666666667,,,,
Seema Bilong,6.1,,,,
Seema Biswas,5.68,Seema Biswas,6.14,,
Seema Deo,6.8,Seema Deo,7.4,,
Seema Dogra,3.9,,,,
Serena Lorien,5.2,,,,
Shabana Afreen,7.2,,,,
Shabana Azmi,6.833333333333333,Shabana Azmi,6.409677419354838,,
Shabana Raza,5.4,Shabana Raza,5.15,,
Shadaab Khan,3.7,,,,
Shadab Kamal,5.85,,,,
Shadab Khan,4.2,Shadab Khan,5.9,Shadab Khan,4.0
Shafiq Syed,8.0,Shafiq Syed,7.1,,
Shagufta Ali,4.45,,,,
Shah Rukh Khan,6.605405405405405,Shah Rukh Khan,6.378571428571428,,
Shahbaaz Khan,6.7,Shahbaaz Khan,4.4,,
Shahbaz Baweja,6.2,,,,
Shaheed Latif,6.0,,,Shaheed Latif,6.575
Shahid Kapoor,5.765,Shahid Kapoor,4.959999999999999,,
Shahnawaz Bhat,6.7,Shahnawaz Bhat,6.4,,
Shahu Modak,6.4,Shahu Modak,7.733333333333333,,
Shailendra Gaur,6.8,,,,
Shakeel Bharati,8.0,,,,
Shakila,6.466666666666666,Shakila,6.4799999999999995,,
Shakti Kapoor,4.9,Shakti Kapoor,4.488888888888889,,
Shakuntala Barua,7.4,,,,
Shakur Sir,4.2,,,,
Shammi Kapoor,6.914285714285715,Shammi Kapoor,6.5375,Shammi Kapoor,6.8
Shamna Kasim,6.0,,,,
Shankanada Aravind,7.4,,,,
Shanta Apte,5.733333333333333,Shanta Apte,6.1,,
Shantanu Ray Chhibber,4.15,,,,
Shantaram Rajaram Vankudre,7.566666666666666,Shantaram Rajaram Vankudre,5.4,Shantaram Rajaram Vankudre,6.693333333333333
Sharad Kelkar,5.3,Sharad Kelkar,7.5,,
Sharad Ponkshe,5.7,,,,
Sharad S. Kapoor,4.6,Sharad S. Kapoor,6.7,,
Sharada,6.2,,,,
Sharada Devi,7.2,,,,
Sharan Anandani,6.7,,,,
Shardul Bharadwaj,7.4,,,,
Sharib Hashmi,6.75,,,,
Sharman Joshi,4.74,Sharman Joshi,5.05,,
Sharmila Tagore,5.86,Sharmila Tagore,6.978125,,
Shashank Arora,6.65,Shashank Arora,6.55,,
Shashank Udapurkar,4.9,,,Shashank Udapurkar,4.9
Shashanka Ghosh,5.5,,,Shashanka Ghosh,5.675
Shashi Kapoor,6.291358024691358,Shashi Kapoor,6.857692307692308,Shashi Kapoor,5.3
Shatrughan Sinha,5.429166666666667,Shatrughan Sinha,5.785185185185185,,
Shaurya Singh,6.8,,,Shaurya Singh,6.8
Shawar Ali,3.8499999999999996,Shawar Ali,4.45,,
Sheeba,5.5,Sheeba,4.3,,
Shefali Shah,5.65,Shefali Shah,6.9,,
Sheikh Fattelal,7.566666666666666,,,,
Sheikh Mukhtar,6.266666666666667,Sheikh Mukhtar,6.0,,
Shekhar,7.4,,,,
Shekhar Kapur,6.233333333333333,Shekhar Kapur,7.1,Shekhar Kapur,7.933333333333334
Shekhar Suman,4.4,Shekhar Suman,5.1,Shekhar Suman,5.1
Sherlyn Chopra,4.75,,,,
Shilpa Shetty Kundra,3.6999999999999997,Shilpa Shetty Kundra,4.992857142857143,,
Shiney Ahuja,4.65,Shiney Ahuja,7.133333333333333,,
Shinnosuke Yakuwa,6.8,,,,
Shiv Darshan,2.6,,,,
Shiv Kumar,6.2,Shiv Kumar,6.5,Shiv Kumar,5.325
Shiv Panditt,5.7,Shiv Panditt,6.15,,
Shiva Rindani,4.3,Shiva Rindani,4.8,Shiva Rindani,8.2
Shiva Suryavanshi,8.6,,,,
Shivaji Ganesan,6.9,,,,
Shivaji Satam,6.1,,,,
Shivani Raghuvanshi,6.8,,,,
Shivarajkumar,7.3,,,,
Shobana,6.8,Shobana,6.35,,
Shoma Anand,5.533333333333334,Shoma Anand,5.5,,
Shona Chabra,4.2,,,,
Shraddha Kapoor,5.0,Shraddha Kapoor,5.955555555555556,,
Shravani Abhang,8.0,,,,
Shreedevi Chowdary,6.8,,,,
Shreyas Porus Pardiwalla,6.1,,,,
Shreyas Talpade,5.277777777777778,Shreyas Talpade,5.5,Shreyas Talpade,5.4
Shrivastava Anushka,4.1,,,,
Shriya Sharma,8.0,Shriya Sharma,7.4,,
Shrunga B.V.,5.9,,,,
Shruti Haasan,5.7,Shruti Haasan,6.4,,
Shubh Mukherjee,4.9,,,Shubh Mukherjee,4.9
Shubham,5.4,,,,
Shubham Kumar Singh,7.3,,,,
Shubhanshu Satyadeo,9.0,,,,
Shubhi Ahuja,3.7,,,,
Shubhra Ghosh,4.0,,,,
Shubhradeep Chakravorty,6.7,,,,
Shweta,7.35,,,,
Shweta Basu Prasad,7.8,Shweta Basu Prasad,7.25,,
Shweta Bhardwaj,3.3,Shweta Bhardwaj,5.366666666666667,,
Shweta Tripathi,7.0,Shweta Tripathi,6.050000000000001,,
Shyam Bharteey,8.8,,,Shyam Bharteey,8.8
Shyam Bhimsaria,7.9,,,,
Shyama,6.324999999999999,Shyama,6.291666666666667,,
Siddharth,6.9,Siddharth,6.550000000000001,,
Siddharth Gupt,6.5,,,,
Siddharth Gupta,5.3,,,,
Siddharth Koirala,3.1,Siddharth Koirala,4.5,,
Siddharth Menon,6.3,Siddharth Menon,5.8,,
Sidhant Gupta,4.6,,,,
Sidhant Kapur,5.0,,,,
Sidhant Salaria,4.8,,,,
Sidharth Bhardwaj,9.0,Sidharth Bhardwaj,8.7,,
Sidharth Malhotra,5.828571428571428,Sidharth Malhotra,5.433333333333334,,
Sikandar Khanna,6.3,,,Sikandar Khanna,6.733333333333333
Sikandar Kher,6.2,,,,
Simer Motiani,5.5,,,,
Simi Garewal,5.7,Simi Garewal,6.34,,
Simran Ahemad,4.5,,,,
Sippy Gill,6.4,,,,
Sitara Devi,5.4,,,,
Smita Gondkar,7.3,,,,
Smita Patil,6.628571428571428,Smita Patil,6.3090909090909095,,
Smriti Mundhra,6.9,,,,
Sneha,6.1,Sneha,3.8,,
Soha Ali Khan,5.85,Soha Ali Khan,6.1,,
Sohail Khan,4.816666666666666,Sohail Khan,4.233333333333333,Sohail Khan,4.933333333333334
Sohan Borcar,6.0,,,,
Sohini Sarkar,7.6,,,,
Sohrab Ardeshir,6.05,,,,
Sohrab Modi,6.9,Sohrab Modi,6.9,Sohrab Modi,6.885714285714286
Som Dutt,5.7,,,,
Sombhu Mitra,8.2,,,,
Somesh Agarwal,6.675,,,,
Sonakshi Sinha,4.8,Sonakshi Sinha,5.425,,
Sonali Bendre,5.5,Sonali Bendre,5.285714285714286,,
Sonali Kulkarni,6.8,Sonali Kulkarni,6.371428571428572,,
Sonam,3.6,Sonam,4.9,,
Sonam Arora,6.699999999999999,,,,
Sonam Kapoor,5.74,Sonam Kapoor,5.455555555555556,,
Sonarika Bhadoria,3.1,,,,
Soni Razdan,5.9,,,Soni Razdan,3.9
Sonia Albizuri,5.666666666666667,,,,
Sonu Chourasia,5.6,,,,
Sonu Nigam,3.6,,,,
Sonu Sood,5.2,Sonu Sood,5.2,,
Sooraj Balaji,3.1,,,,
Sooraj Pancholi,3.8666666666666667,,,,
Sooraj R. Barjatya,4.2,,,Sooraj R. Barjatya,6.016666666666667
Sophiya Chaudhary,3.7,,,,
Sorabh Chauhan,6.8,,,,
Soumi Saha,8.9,,,,
Soumitra Chatterjee,7.3,Soumitra Chatterjee,6.5,,
Soumyak Kanti DeBiswas,7.0,,,,
Soundarya,5.6,Soundarya,4.8,,
Soundarya Sharma,7.3,,,,
Sourabh,3.9,,,,
Sourabh Arora,7.5,,,,
Sreelekha Mitra,5.6,,,,
Sreenath Janardhanan,6.9,,,,
Sridevi,5.922222222222222,Sridevi,6.022222222222222,,
Srishti Gautam,7.8,,,,
Sritam Das,7.9,,,,
Srivinay Salian,4.7,,,,
Steven a Dsouza,7.1,,,,
Subhash Ahuja,7.5,,,,
Subodh Mitra,6.5,,,,
Subramanian Swamy,9.2,,,,
Subrat Dutta,6.65,Subrat Dutta,9.0,,
Suchitra Sen,7.699999999999999,Suchitra Sen,7.45,,
Sudeep,5.9,Sudeep,4.7,Sudeep,6.5
Sudesh Berry,3.1,Sudesh Berry,5.216666666666666,,
Sudesh Kumar,4.5,Sudesh Kumar,5.8,,
Sudha Chandran,5.8,Sudha Chandran,6.5,,
Sudhanshu Pandey,4.3,,,,
Sudhir Dalvi,6.95,Sudhir Dalvi,4.949999999999999,Sudhir Dalvi,6.5
Sudhir Kumar,8.4,,,,
Suhaas Ahuja,5.5,,,,
Suhasini,8.0,Suhasini,6.1,Suhasini,7.0
Sujata Mehta,6.3,,,,
Sulabha Arya,6.0,Sulabha Arya,5.25,,
Sulabha Deshpande,5.9,,,,
Sulagna Panigrahi,8.4,,,,
Sulochana Chatterjee,6.3,,,,
Sulochana Latkar,5.9,Sulochana Latkar,6.866666666666667,,
Suman Ranganath,5.7,Suman Ranganath,4.5,,
Sumana Mukherjee,6.0,,,Sumana Mukherjee,5.2
Sumanth,4.7,,,,
Sumeet Saigal,3.3499999999999996,,,,
Sumeet Vyas,5.4,Sumeet Vyas,6.9,,
Sumit Arora,6.3,,,,
Sumit Gulati,8.2,,,,
Sumit Nijhawan,5.8,,,,
Suneil Anand,5.9,,,Suneil Anand,4.8
Sunidhi Chauhan,6.800000000000001,,,,
Sunil Barve,5.9,,,,
Sunil Dhawan,4.8,Sunil Dhawan,4.1,,
Sunil Dutt,6.323529411764706,Sunil Dutt,6.5249999999999995,Sunil Dutt,7.075
Sunil Kumar Agrawal,4.300000000000001,,,,
Sunil Pal,4.6,,,Sunil Pal,4.3
Sunil Sharma,6.9,,,Sunil Sharma,4.5
Sunil Shetty,4.575862068965517,Sunil Shetty,5.107142857142857,,
